epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.8975,1.65584,3.88944,1.64674,0.16796,0.5617,0.19514,0.13212,1.24618,2.88614,1.40128,6e-05,6e-05,6e-05
2,40.8914,1.20934,2.79526,1.31039,0.21694,0.71815,0.30944,0.23945,0.96137,2.76797,1.07525,0.000127855,0.000127855,0.000127855
3,49.4582,1.03546,1.97542,1.21928,0.38633,0.502,0.46523,0.35683,0.87995,2.24701,1.129,0.0001934,0.0001934,0.0001934
4,57.0065,1.03578,1.62057,1.17357,0.62545,0.70982,0.74905,0.56218,0.90058,1.42017,1.13597,0.000256635,0.000256635,0.000256635
5,62.1898,0.9727,1.29226,1.15464,0.68448,0.8992,0.90211,0.70054,0.87842,1.23852,1.06535,0.00031756,0.00031756,0.00031756
6,66.9502,0.9639,1.12624,1.14613,0.86237,0.85236,0.96053,0.73314,0.89425,0.93397,1.10022,0.000376175,0.000376175,0.000376175
7,72.6559,0.96409,0.98858,1.12392,0.92672,0.97608,0.99133,0.74187,0.98045,0.7759,1.06519,0.00043248,0.00043248,0.00043248
8,77.1319,0.97974,0.91004,1.12447,0.91247,0.95586,0.98033,0.73197,0.97133,0.80639,1.10634,0.000486475,0.000486475,0.000486475
9,82.309,0.96968,0.88025,1.1804,0.96727,0.96707,0.99278,0.76077,0.93205,0.65885,1.12614,0.00053816,0.00053816,0.00053816
10,87.2097,0.98049,0.88723,1.18307,0.85541,0.95729,0.95698,0.73831,0.96996,0.71038,1.29356,0.000587535,0.000587535,0.000587535
11,90.9625,0.93051,0.78949,1.14386,0.94914,0.96684,0.98433,0.75789,0.94997,0.71339,1.25771,0.0006346,0.0006346,0.0006346
12,95.5379,0.96054,0.78056,1.15701,0.93078,0.89073,0.97092,0.74781,0.92485,0.77815,1.2342,0.000679355,0.000679355,0.000679355
13,99.9483,0.91811,0.7017,1.11841,0.90625,0.85546,0.95717,0.7127,0.96635,0.90294,1.22339,0.0007218,0.0007218,0.0007218
14,104.043,0.9954,0.86186,1.21783,0.95083,0.84948,0.97892,0.74734,0.93446,0.70615,1.28774,0.000761935,0.000761935,0.000761935
15,108.879,0.87024,0.633,1.10068,0.90492,0.82791,0.96552,0.69708,1.09201,0.81088,1.38729,0.000769,0.000769,0.000769
16,113.278,0.88446,0.66898,1.15282,0.86196,0.84992,0.95274,0.70248,1.05254,0.8679,1.31599,0.0007525,0.0007525,0.0007525
17,117.419,0.89983,0.66563,1.08666,0.90329,0.86875,0.95329,0.72232,0.99723,0.83714,1.2526,0.000736,0.000736,0.000736
18,122.338,0.87548,0.6503,1.0975,0.94777,0.94444,0.97048,0.7654,0.8748,0.65707,1.11361,0.0007195,0.0007195,0.0007195
19,126.795,0.83651,0.61682,1.08558,0.92144,0.96444,0.98386,0.75817,0.93067,0.6504,1.17153,0.000703,0.000703,0.000703
20,130.891,0.85235,0.5952,1.08491,0.92295,0.94411,0.98708,0.75289,0.90966,0.66645,1.17822,0.0006865,0.0006865,0.0006865
21,135.902,0.85075,0.67863,1.10734,0.87555,0.97563,0.96758,0.76557,0.88191,0.67784,1.11675,0.00067,0.00067,0.00067
22,139.998,0.91148,0.70973,1.11131,0.86414,0.95926,0.97016,0.73521,0.94829,0.68063,1.18609,0.0006535,0.0006535,0.0006535
23,144.071,0.87462,0.65235,1.11304,0.90135,0.98127,0.98544,0.75119,0.89792,0.66013,1.15694,0.000637,0.000637,0.000637
24,149.21,0.82765,0.59564,1.05429,0.97088,0.98401,0.995,0.74996,0.93399,0.51542,1.22573,0.0006205,0.0006205,0.0006205
25,152.972,0.85517,0.54913,1.06953,0.98389,0.99531,0.995,0.76425,0.92252,0.49793,1.22817,0.000604,0.000604,0.000604
26,157.294,0.93196,0.61843,1.18292,0.98824,1,0.995,0.78552,0.84093,0.46672,1.14484,0.0005875,0.0005875,0.0005875
27,162.3,0.90274,0.71499,1.11276,0.97707,1,0.995,0.77598,0.85828,0.44023,1.1864,0.000571,0.000571,0.000571
28,166.278,0.83857,0.58909,1.09209,0.98473,0.9987,0.995,0.77059,0.86877,0.44722,1.16788,0.0005545,0.0005545,0.0005545
29,170.126,0.83084,0.5236,1.09851,0.97919,1,0.995,0.78108,0.84632,0.45579,1.12788,0.000538,0.000538,0.000538
30,175.205,0.80235,0.59074,1.04989,0.9744,1,0.995,0.78396,0.85907,0.47191,1.12069,0.0005215,0.0005215,0.0005215
